AccidentID,Latitude,Longitude,AreaName,RoadName,RoadType,NumberOfLanes,RoadWidth,SpeedLimit,Weather,Temperature,Humidity,Visibility,WindSpeed,RoadCondition,LightingCondition,TrafficDensity,AverageTrafficSpeed,HeavyVehiclePercentage,PedestrianDensity,NearbySchool,NearbyHospital,NearbyBusStop,NearbySignal,NearbyRailwayCrossing,Year,Month,DayOfWeek,Weekend,FestivalSeason,TimeOfDay,Hour,CurvePresent,DividerPresent,RoadShoulder,AccidentHistoryLast5Years,ConstructionZone,BlackSpotReported,AccidentRisk,AccidentSeverity,Hotspot
CHN202500017,13.142305,80.234785,Madhavaram,Madhavaram High Road,Flyover,4,8.3,60,Cloudy,33.0,55.1,2786,16.1,Dry,NightWithoutLights,Severe,18.1,10.5,83.0,No,No,Yes,No,No,2023,8,Friday,No,No,Night,22,Yes,Yes,Yes,9,No,No,High,Fatal,Yes
CHN202200018,13.009049,80.221878,Guindy,GST Road,Highway,6,17.4,80,Drizzle,27.8,79.7,1283,20.6,Wet,Daylight,High,16.4,9.8,68.0,No,Yes,No,Yes,No,2023,7,Sunday,Yes,No,Evening,16,No,Yes,Yes,6,No,No,Medium,Major,No
CHN202400019,13.116808,80.229993,Perambur,Paper Mills Road,Arterial,2,12.0,40,Cloudy,30.6,61.3,1627,9.3,Dry,Daylight,High,23.2,2.0,69.0,Yes,No,Yes,No,No,2022,11,Friday,No,Yes,Afternoon,14,No,No,No,5,No,No,Low,Minor,No
CHN202500020,13.073433,80.263095,Egmore,Mount Road,Arterial,4,10.1,40,Sunny,30.1,57.4,2724,12.4,Dry,NightWithLights,High,20.1,11.2,63.0,No,No,No,Yes,No,2023,11,Thursday,No,Yes,Night,22,No,No,Yes,2,No,No,Low,Minor,No
CHN202400021,13.154727,80.239916,Madhavaram,Madhavaram High Road,Arterial,4,14.8,40,Sunny,35.9,48.5,3521,17.9,Dry,NightWithoutLights,Severe,10.2,7.4,88.0,No,No,Yes,No,No,2022,7,Friday,No,No,Night,22,No,Yes,No,12,No,No,Medium,Minor,No
CHN202500022,13.032292,80.269476,Mylapore,Luz Church Road,Residential,2,5.7,20,Foggy,25.5,83.8,214,7.9,Potholes,Dusk,High,14.4,11.0,61.0,No,No,Yes,Yes,No,2022,9,Friday,No,No,Evening,17,No,No,No,3,No,No,Medium,Minor,Yes
CHN202400023,13.010334,80.257124,Adyar,LB Road,Arterial,2,11.3,50,Sunny,38.5,49.9,2296,14.8,Potholes,Daylight,Medium,29.1,4.6,35.0,Yes,No,No,No,No,2023,6,Tuesday,No,No,Afternoon,12,No,Yes,No,6,No,No,Low,Minor,No
CHN202400024,13.112469,80.095366,Avadi,Chennai Bypass Road,Highway,4,22.5,80,Rainy,25.8,82.4,785,25.2,Potholes,NightWithoutLights,Medium,26.6,8.6,59.0,No,No,Yes,No,No,2023,2,Tuesday,No,No,Early Morning,4,No,Yes,Yes,8,No,Yes,High,Fatal,Yes
CHN202500025,13.012238,80.201358,Kathipara,GST Road Flyover,Flyover,2,8.2,60,Drizzle,25.6,80.9,1590,13.6,Wet,NightWithoutLights,Medium,34.3,11.2,77.0,No,Yes,Yes,No,No,2022,2,Saturday,Yes,No,Late Night,2,No,No,Yes,2,No,No,High,Fatal,No
CHN202300026,12.979238,80.217169,Velachery,Velachery Main Road,Arterial,2,17.4,50,Rainy,26.8,88.2,1019,19.5,UnderConstruction,Dusk,Medium,30.5,8.6,48.0,No,No,Yes,No,No,2022,9,Sunday,Yes,Yes,Evening,17,No,Yes,No,5,Yes,No,Medium,Minor,No
CHN202500027,13.086515,80.205161,Anna Nagar,Anna Nagar 2nd Avenue,Residential,2,8.4,20,Rainy,24.8,80.5,466,15.7,Damaged,Dusk,Severe,4.0,4.6,79.0,No,No,No,Yes,No,2025,12,Thursday,No,No,Evening,18,No,No,No,7,No,No,High,Minor,No
CHN202500028,13.045033,80.212184,Vadapalani,Arcot Road,Highway,6,16.4,80,Sunny,31.6,56.7,3229,7.8,Damaged,Daylight,Medium,39.2,7.8,57.0,No,Yes,Yes,No,No,2025,7,Tuesday,No,Yes,Afternoon,12,No,No,No,1,No,No,Medium,Major,No
CHN202200029,13.142408,80.226825,Madhavaram,Madhavaram High Road,Arterial,4,14.4,50,Rainy,27.9,94.8,1499,20.3,Wet,NightWithoutLights,Low,47.6,5.5,29.0,No,No,No,No,No,2023,4,Wednesday,No,No,Night,21,No,Yes,No,2,No,No,Medium,Minor,No
CHN202300030,12.932001,80.256057,Neelankarai,ECR,Highway,6,22.2,60,Sunny,37.6,61.5,3616,15.6,Dry,NightWithoutLights,Medium,32.0,14.3,49.0,No,No,Yes,No,No,2023,8,Tuesday,No,No,Early Morning,4,Yes,Yes,No,4,No,No,Medium,Minor,No
CHN202300031,12.958752,80.240747,Perungudi,OMR,Highway,6,19.7,80,Rainy,28.3,75.5,359,22.0,Wet,Dusk,Medium,34.1,11.3,41.0,No,No,Yes,Yes,No,2023,10,Monday,No,No,Evening,16,No,Yes,No,3,No,No,Medium,Major,No
CHN202500032,13.037567,80.22881,T Nagar,Anna Salai,Arterial,2,11.1,60,Sunny,32.6,46.1,3072,8.4,Dry,Daylight,Low,35.9,8.2,42.0,Yes,No,No,No,No,2022,10,Sunday,Yes,No,Morning,8,Yes,Yes,Yes,7,No,No,Low,Minor,No
CHN202400033,12.954073,80.152408,Chrompet,GST Road,Highway,4,18.1,80,Cloudy,33.5,73.7,2478,12.0,Dry,Dusk,Medium,35.9,12.6,40.0,Yes,Yes,No,Yes,No,2024,4,Friday,No,No,Evening,18,No,Yes,No,4,No,No,Low,Major,No
CHN202400034,13.04828,80.235555,T Nagar,Anna Salai,Arterial,4,16.8,50,Cloudy,27.0,70.7,2326,18.5,Dry,NightWithLights,Medium,36.2,11.6,19.0,No,Yes,No,No,No,2024,2,Thursday,No,No,Late Night,1,No,Yes,No,4,No,No,Low,Minor,No
CHN202500035,13.080545,80.260088,Egmore,Mount Road,Arterial,4,15.5,40,Rainy,26.3,87.4,348,19.2,Wet,Daylight,Medium,26.6,11.5,62.0,No,No,No,Yes,No,2022,6,Monday,No,No,Morning,10,No,Yes,Yes,5,Yes,No,Medium,Minor,No
CHN202500036,13.012411,80.206652,Kathipara,GST Road Flyover,Flyover,4,13.5,70,Sunny,33.5,46.3,4906,9.0,Dry,Daylight,High,24.1,10.4,66.0,No,Yes,No,No,No,2022,2,Friday,No,No,Evening,16,No,No,No,4,No,No,Low,Major,No
CHN202500037,12.96941,80.24003,Perungudi,OMR,Highway,4,23.8,60,Cloudy,33.6,74.5,2090,8.6,Dry,NightWithLights,Medium,32.0,9.0,26.0,No,No,No,No,No,2022,2,Thursday,No,No,Late Night,3,Yes,Yes,No,4,No,No,Low,Major,No
CHN202500038,13.087982,80.209016,Anna Nagar,Anna Nagar 2nd Avenue,Residential,1,7.0,30,Cloudy,30.1,74.9,2715,13.7,Dry,NightWithLights,Severe,8.5,6.8,73.0,Yes,No,No,No,No,2022,3,Saturday,Yes,Yes,Late Night,23,No,No,Yes,8,No,Yes,High,Major,Yes
CHN202400039,13.060358,80.194037,Koyambedu,Poonamallee High Road,Junction,2,19.6,30,Sunny,31.9,55.6,4648,14.9,Damaged,Dusk,High,19.9,7.5,72.0,No,Yes,No,No,No,2022,10,Thursday,No,Yes,Evening,18,No,No,Yes,7,No,No,Medium,Minor,No
CHN202500040,12.935841,80.25414,Neelankarai,ECR,Highway,6,22.7,100,Cloudy,33.2,73.2,3478,13.5,Dry,NightWithLights,High,14.2,7.2,52.0,Yes,No,No,No,No,2023,6,Thursday,No,No,Night,19,No,Yes,Yes,5,No,No,Medium,Fatal,No
CHN202300041,13.004187,80.217686,Guindy,GST Road,Highway,8,16.6,100,Sunny,35.8,61.3,2705,8.6,UnderConstruction,NightWithLights,High,21.7,12.6,68.0,No,No,Yes,No,No,2023,12,Thursday,No,No,Late Night,1,Yes,Yes,No,4,Yes,No,High,Major,No
CHN202400042,12.789305,80.215082,Kelambakkam,OMR Service Road,Highway,6,23.2,60,Rainy,28.5,77.0,861,14.0,Wet,Daylight,Severe,8.1,10.3,100.0,No,No,Yes,No,No,2023,3,Wednesday,No,No,Afternoon,13,No,Yes,Yes,7,No,No,Medium,Major,No
CHN202400043,13.084932,80.211232,Anna Nagar,Anna Nagar 2nd Avenue,Highway,6,22.8,80,Rainy,28.9,90.0,645,12.4,Wet,NightWithLights,High,17.5,9.9,37.0,No,No,No,Yes,No,2024,7,Friday,No,No,Night,20,No,No,No,6,No,No,High,Major,No
CHN202300044,13.0357,80.26759,Mylapore,Luz Church Road,Residential,2,7.6,40,Sunny,31.2,59.2,3690,11.4,Dry,Daylight,Severe,4.0,10.7,100.0,No,No,Yes,No,No,2025,11,Saturday,Yes,Yes,Afternoon,12,Yes,Yes,No,7,No,No,Low,Minor,No
CHN202200045,12.935949,80.235506,Thoraipakkam,OMR,Highway,4,15.7,60,Sunny,30.2,46.4,4969,6.0,Dry,Dusk,Medium,24.8,13.9,41.0,No,No,Yes,No,No,2022,10,Monday,No,No,Evening,18,Yes,No,Yes,3,No,No,Low,Minor,No
CHN202400046,12.898737,80.232297,Sholinganallur,OMR,Highway,6,20.1,80,Sunny,35.9,58.5,4047,6.0,Dry,Daylight,Medium,46.0,9.7,,No,No,No,No,No,2023,6,Monday,No,No,Morning,6,No,Yes,No,3,No,No,Low,Fatal,No
CHN202500047,13.043632,80.214206,Vadapalani,Arcot Road,Arterial,2,10.0,50,Rainy,28.4,75.6,983,13.1,Potholes,NightWithoutLights,High,10.4,11.1,57.0,No,No,No,No,No,2022,4,Wednesday,No,No,Late Night,23,No,Yes,No,13,No,Yes,High,Major,Yes
CHN202400048,12.901352,80.228778,Sholinganallur,OMR,Highway,6,17.3,80,Sunny,30.9,62.0,3338,8.0,Damaged,Dusk,High,18.5,6.3,51.0,Yes,No,Yes,No,No,2024,12,Wednesday,No,No,Evening,18,No,Yes,Yes,2,No,No,Low,Major,No
CHN202500049,12.932753,80.254535,Neelankarai,ECR,Highway,8,18.9,80,Cloudy,29.5,59.5,1614,12.2,Damaged,Daylight,High,12.2,19.2,69.0,Yes,No,No,Yes,Yes,2023,6,Thursday,No,No,Afternoon,11,No,Yes,Yes,3,No,No,Low,Major,No
CHN202400050,12.788121,80.219742,Kelambakkam,OMR Service Road,Flyover,4,8.5,80,Cloudy,31.3,63.3,2929,9.8,Damaged,NightWithoutLights,Severe,4.9,5.7,87.0,Yes,No,No,No,No,2022,11,Thursday,No,No,Night,19,Yes,No,Yes,7,No,No,High,Major,Yes
CHN202300051,13.050226,80.100981,Poonamallee,Poonamallee High Road,Arterial,4,14.2,60,Sunny,,58.0,2347,16.5,Dry,Daylight,Low,46.2,3.4,31.0,No,No,No,Yes,Yes,2022,4,Tuesday,No,No,Afternoon,12,No,No,Yes,4,Yes,No,Low,Minor,No
CHN202400052,13.003631,80.253775,Adyar,LB Road,Arterial,4,17.5,40,Cloudy,32.3,60.7,3468,15.6,Potholes,NightWithLights,Medium,37.6,2.2,51.0,No,No,Yes,No,No,2023,6,Sunday,Yes,No,Late Night,3,Yes,Yes,No,6,No,No,Low,Minor,No
CHN202400053,12.929592,80.235822,Thoraipakkam,OMR,Highway,8,,80,Sunny,32.9,49.0,4040,7.4,Wet,Daylight,High,16.2,12.2,72.0,No,No,Yes,No,No,2023,7,Wednesday,No,No,Morning,7,No,Yes,Yes,8,No,Yes,Medium,Major,Yes
CHN202300054,13.114571,80.099123,Avadi,Chennai Bypass Road,Highway,4,15.1,60,Sunny,29.3,50.6,2578,9.9,Dry,NightWithLights,High,25.1,,71.0,No,No,Yes,No,No,2023,2,Friday,No,No,Late Night,0,No,Yes,No,5,No,No,Medium,Major,No
CHN202200055,13.090604,80.205911,Anna Nagar,Anna Nagar 2nd Avenue,Residential,1,6.7,20,Sunny,31.7,52.9,3275,16.4,Dry,NightWithLights,Medium,31.9,3.5,68.0,No,No,Yes,No,No,2025,10,Wednesday,No,No,Night,22,No,No,No,1,No,No,Low,Minor,No
CHN202200056,13.123816,80.240577,Perambur,Paper Mills Road,Arterial,4,16.5,40,Cloudy,28.8,68.3,1796,19.2,Potholes,Dawn,Medium,29.4,3.0,47.0,No,No,No,No,No,2022,2,Friday,No,No,Early Morning,4,Yes,No,No,5,No,No,Medium,Minor,Yes
CHN202200057,13.156485,80.233938,Madhavaram,Madhavaram High Road,Arterial,4,16.0,60,Sunny,32.2,52.4,3611,8.9,Dry,Daylight,Medium,32.1,5.9,45.0,No,No,No,Yes,No,2024,4,Friday,No,No,Afternoon,12,No,No,No,6,Yes,No,Low,Minor,No
CHN202300058,13.011371,80.195927,Kathipara,GST Road Flyover,Service Road,2,7.5,20,Cloudy,28.5,,3120,13.0,Dry,NightWithoutLights,High,15.5,10.8,48.0,No,No,No,Yes,No,2023,3,Friday,No,No,Late Night,0,No,Yes,Yes,6,No,No,Medium,Minor,No
CHN202200059,13.111561,80.097553,Avadi,Chennai Bypass Road,Highway,4,16.9,60,Rainy,27.0,93.4,339,11.3,Wet,NightWithLights,Low,42.3,15.0,18.0,No,No,No,Yes,No,2022,5,Sunday,Yes,No,Late Night,2,No,Yes,No,1,Yes,No,High,Fatal,No
CHN202200060,13.01699,80.2176,Guindy,GST Road,Highway,4,14.6,100,Sunny,34.5,53.5,4386,11.4,Dry,NightWithLights,Severe,11.8,10.3,86.0,No,No,No,No,No,2024,10,Sunday,Yes,Yes,Late Night,3,No,Yes,Yes,6,No,No,High,Fatal,No
CHN202200061,12.919198,80.256376,Injambakkam,ECR,Highway,6,17.6,60,Cloudy,33.9,60.2,1973,9.5,Dry,NightWithoutLights,High,9.1,16.1,51.0,No,No,No,No,No,2024,9,Saturday,Yes,No,Early Morning,5,No,Yes,Yes,3,No,No,Low,Fatal,No
CHN202200062,13.024143,80.270518,Mylapore,Luz Church Road,Service Road,2,7.3,30,Cloudy,29.3,68.9,3892,15.1,Wet,Daylight,Medium,33.5,14.6,50.0,No,Yes,Yes,No,No,2023,5,Sunday,Yes,No,Evening,17,No,No,No,2,No,No,Low,Minor,No
CHN202400063,13.144396,80.239303,Madhavaram,Madhavaram High Road,Arterial,4,16.6,50,Cloudy,29.4,63.9,3660,16.7,Dry,Daylight,Medium,31.9,4.3,45.0,,No,No,Yes,No,2023,1,Saturday,Yes,Yes,Morning,7,Yes,No,No,5,No,No,Medium,Minor,No
CHN202200064,13.117776,80.100276,Avadi,Chennai Bypass Road,Highway,4,23.4,100,Cloudy,31.5,64.3,2549,9.4,Dry,NightWithoutLights,Medium,28.1,8.3,38.0,No,No,No,No,No,2022,5,Tuesday,No,No,Night,21,No,No,No,2,No,No,Medium,Fatal,No
CHN202200065,13.068999,80.194343,Koyambedu,Poonamallee High Road,Junction,4,13.4,30,Cloudy,29.6,74.4,1932,11.8,Dry,Dusk,High,22.8,4.6,68.0,No,Yes,No,No,No,2022,8,Saturday,Yes,No,Evening,17,No,No,Yes,10,Yes,Yes,Medium,Major,Yes
CHN202500066,13.08472,80.208614,Anna Nagar,Anna Nagar 2nd Avenue,Residential,1,6.8,30,Rainy,29.4,88.1,449,15.9,Potholes,Daylight,Severe,12.0,8.7,67.0,No,No,Yes,Yes,No,2022,5,Wednesday,No,No,Morning,8,No,No,No,7,No,No,High,Major,No
CHN202400067,13.109234,80.239805,Perambur,Paper Mills Road,Arterial,2,12.3,40,Sunny,34.0,62.8,3890,,Dry,Daylight,High,19.6,7.7,61.0,No,No,No,No,No,2024,3,Tuesday,No,No,Morning,8,No,No,Yes,6,No,No,Low,Minor,No
CHN202500068,13.11071,80.150829,Ambattur,Ambattur Industrial Estate Road,Arterial,2,14.6,50,Cloudy,30.1,63.0,2679,15.0,Dry,NightWithoutLights,Severe,11.1,7.8,85.0,No,No,Yes,No,No,2024,9,Monday,No,No,Early Morning,4,No,Yes,No,8,No,No,High,Major,No
CHN202300069,12.920845,80.128665,Tambaram,GST Road,Arterial,2,12.0,40,Foggy,21.4,89.1,396,2.1,Dry,Daylight,High,17.9,,79.0,No,No,Yes,Yes,No,2023,5,Friday,No,No,Evening,17,No,Yes,Yes,6,No,No,Low,Minor,No
CHN202300070,13.049041,80.287547,Marina,Marina Beach Road,Residential,2,5.3,40,Rainy,29.2,89.0,1108,20.5,Damaged,NightWithLights,Medium,31.1,10.4,44.0,No,Yes,No,No,Yes,2024,4,Monday,No,No,Night,22,No,No,No,0,No,No,Medium,Minor,No
CHN202200071,12.928062,80.257719,Neelankarai,ECR,Residential,2,8.7,30,Rainy,24.5,89.8,1486,26.9,Wet,Dusk,Medium,27.7,8.0,40.0,Yes,No,Yes,No,No,2024,9,Saturday,Yes,No,Evening,17,Yes,No,No,0,Yes,No,Medium,Minor,No
CHN202500072,12.917555,80.254326,Injambakkam,ECR,Residential,1,8.8,40,Rainy,26.8,79.4,1275,24.7,Wet,NightWithLights,Medium,45.2,,50.0,No,No,Yes,Yes,No,2022,10,Saturday,Yes,No,Late Night,1,Yes,Yes,No,2,No,No,Medium,Minor,No
CHN202400073,12.983501,80.221002,Velachery,Velachery Main Road,Arterial,4,12.5,40,Sunny,30.2,53.2,3670,17.1,Dry,Dusk,Medium,30.2,6.0,62.0,No,Yes,Yes,Yes,No,2024,1,Monday,No,Yes,Evening,18,No,Yes,Yes,2,No,No,Low,Minor,No
CHN202400074,13.046339,80.216923,Vadapalani,Arcot Road,Arterial,4,13.4,50,Drizzle,24.7,87.9,1444,17.1,UnderConstruction,Daylight,Medium,35.9,6.6,50.0,Yes,No,No,Yes,No,2023,7,Friday,No,No,Evening,16,Yes,Yes,No,4,Yes,No,Low,Minor,No
CHN202400075,13.034158,80.270789,Mylapore,Luz Church Road,Residential,1,5.3,20,Sunny,38.9,49.4,4444,7.2,Dry,Dusk,Severe,11.5,9.8,74.0,Yes,No,No,Yes,No,2023,7,Saturday,Yes,No,Evening,18,Yes,No,No,4,No,No,Low,Minor,No
CHN202300076,12.977464,80.218465,Velachery,Velachery Main Road,Service Road,2,,30,Rainy,29.3,87.3,633,12.0,Damaged,Dusk,Low,38.6,20.8,11.0,No,No,No,No,No,2022,6,Monday,No,No,Evening,16,Yes,No,Yes,2,No,No,Low,Minor,No
CHN202400077,12.906061,80.227998,Sholinganallur,OMR,Highway,8,21.6,80,Sunny,36.1,64.0,2274,9.2,Dry,Daylight,Medium,32.6,10.3,45.0,No,No,Yes,No,Yes,2023,9,Friday,No,No,Afternoon,12,Yes,No,No,0,No,No,Low,Major,No
CHN202300078,12.935476,80.258272,Neelankarai,ECR,Service Road,2,5.8,30,Drizzle,25.2,86.0,965,17.1,Potholes,Dusk,Medium,38.9,13.8,32.0,Yes,No,Yes,No,No,2023,8,Tuesday,No,No,Evening,17,No,No,Yes,7,No,No,Medium,Minor,No
CHN202200079,12.923375,80.131449,Tambaram,GST Road,Highway,6,19.5,100,Foggy,25.5,95.3,387,5.7,Dry,NightWithLights,Severe,4.0,24.2,85.0,No,No,No,Yes,No,2022,8,Tuesday,No,No,Night,20,No,Yes,Yes,7,No,No,High,Fatal,Yes
CHN202200080,12.959763,80.238586,Perungudi,OMR,Highway,6,23.4,80,Drizzle,24.5,70.8,2026,18.7,Potholes,Daylight,Severe,5.8,21.5,74.0,No,No,No,No,No,2022,5,Monday,No,No,Evening,16,No,Yes,Yes,4,No,No,Medium,Fatal,Yes
CHN202300081,13.011653,80.21794,Guindy,GST Road,Highway,4,14.8,80,Drizzle,27.4,82.8,2473,17.5,Dry,NightWithLights,Severe,,14.8,97.0,Yes,Yes,Yes,No,No,2025,9,Monday,No,No,Night,19,No,Yes,Yes,9,No,Yes,High,Major,Yes
CHN202200082,13.039306,80.231994,T Nagar,Anna Salai,Arterial,2,15.6,60,Cloudy,28.0,70.0,2387,8.2,Dry,Dawn,High,15.5,3.9,50.0,No,No,Yes,Yes,No,2024,10,Monday,No,No,Early Morning,4,Yes,Yes,No,6,No,No,Medium,Major,No
CHN202500083,13.117807,80.089955,Avadi,Chennai Bypass Road,Highway,4,18.9,60,Rainy,24.6,81.2,978,10.9,Wet,NightWithLights,High,20.4,24.0,50.0,Yes,No,No,No,No,2024,1,Thursday,No,Yes,Late Night,23,No,Yes,No,2,No,No,High,Major,Yes
CHN202500084,13.114454,80.099817,Avadi,Chennai Bypass Road,Highway,6,17.5,80,Cloudy,30.4,64.7,3915,17.1,Dry,NightWithLights,Severe,4.0,5.9,80.0,Yes,Yes,No,Yes,No,2022,12,Thursday,No,No,Late Night,1,No,No,Yes,4,Yes,No,High,Major,Yes
CHN202300085,13.041589,80.157143,Porur,Mount Poonamallee Road,Junction,4,12.2,50,Sunny,29.3,49.9,3100,9.6,Dry,Dusk,Low,31.3,7.0,11.0,No,No,,No,No,2025,7,Tuesday,No,No,Evening,18,Yes,Yes,Yes,8,No,Yes,Low,Minor,Yes
CHN202300086,12.952709,80.144221,Chrompet,GST Road,Junction,2,18.6,30,Cloudy,30.0,55.2,3788,13.5,UnderConstruction,NightWithoutLights,High,17.8,11.4,63.0,No,No,Yes,No,No,2023,12,Friday,No,No,Early Morning,4,No,No,Yes,10,Yes,Yes,High,Minor,Yes
CHN202400087,13.048875,80.212013,Vadapalani,Arcot Road,Arterial,2,15.0,60,Sunny,37.5,,3026,13.6,Dry,Dawn,Severe,14.1,7.6,74.0,No,No,Yes,Yes,No,2022,9,Monday,No,No,Early Morning,4,No,Yes,No,7,No,No,Low,Minor,No
CHN202400088,13.039367,80.236601,T Nagar,Anna Salai,Arterial,4,10.2,60,Cloudy,32.5,55.1,2220,17.0,Damaged,NightWithLights,Medium,26.8,7.5,48.0,No,No,Yes,No,No,2024,6,Wednesday,No,No,Late Night,23,No,Yes,No,8,No,No,Medium,Minor,No
CHN202200089,13.073462,80.261361,Egmore,Mount Road,Service Road,1,4.0,30,Rainy,27.4,84.9,1271,23.6,Wet,Daylight,Severe,8.3,20.1,100.0,No,Yes,No,No,No,2025,8,Friday,No,No,Afternoon,13,Yes,No,No,4,No,Yes,High,Major,Yes
CHN202400090,13.076085,80.266747,Egmore,Mount Road,Arterial,2,12.4,60,Cloudy,33.2,59.5,2325,13.7,Dry,NightWithLights,Medium,37.5,10.0,35.0,No,No,No,No,No,2022,11,Thursday,No,No,Late Night,3,No,Yes,No,6,No,No,Low,Minor,Yes
